"","Rk","Tm.x","W","L","WL","Strk","R","RA","Rdiff","SOS","SRS","pythWL","Luck","vEast","vCent","vWest","Inter","Home","Road","ExInn","1Run","vRHP","vLHP","≥.500","<.500","last10","last20","last30","Year.x","tYear","Tm.y","Attendance","Attend/G","BatAge","PAge","BPF","PPF","#HOF","#A-S","#a-tA-S","Est. Payroll","Time","Chall","Succ","Succ%","Managers","Year.y"
"25",25,"St. Louis Cardinals",71,91,0.438,"W 2",4.4,5.1,-0.7,0,-0.6,"71-91",0,"14-18","21-31","13-19","23-23","35-46","36-45","6-6","17-26","54-66","17-25","45-56","26-35","4-6","8-12","15-15",2023,"St. Louis Cardinals2023","St. Louis Cardinals",3241091,40013,27.5,29.7,99,99,0,1,7,"$174,086,450",02:43:00,46,24,"52%","Marmol",2023
"26",26,"Washington Nationals",71,91,0.438,"W 1",4.3,5.2,-0.9,0.1,-0.8,"67-95",4,"19-33","14-19","15-16","23-23","34-47","37-44","6-2","28-21","47-60","24-31","39-63","32-28","4-6","7-13","10-20",2023,"Washington Nationals2023","Washington Nationals",1865832,23035,26.8,28,96,98,0,1,3,"$99,211,578",02:41:00,29,22,"75%","Martinez",2023
"27",27,"Chicago White Sox",61,101,0.377,"L 3",4,5.2,-1.2,0,-1.3,"61-101",0,"11-20","23-29","12-21","15-31","31-50","30-51","5-11","19-30","47-77","14-24","26-59","35-42","3-7","6-14","9-21",2023,"Chicago White Sox2023","Chicago White Sox",1669628,20613,27.9,29.2,103,104,0,1,9,"$140,725,951",02:41:00,40,16,"40%","Grifol",2023
"28",28,"Colorado Rockies",59,103,0.364,"W 1",4.5,5.9,-1.5,0.1,-1.3,"60-102",-1,"14-20","13-17","14-38","18-28","37-44","22-59","6-4","23-24","37-74","22-29","31-72","28-31","3-7","8-12","10-20",2023,"Colorado Rockies2023","Colorado Rockies",2607935,32197,28.2,29.7,113,115,0,1,7,"$155,645,682",02:41:00,38,19,"50%","Black",2023
"29",29,"Kansas City Royals",56,106,0.346,"W 1",4.2,5.3,-1.1,0,-1.2,"64-98",-8,"9-24","20-32","11-20","16-30","33-48","23-58","3-4","21-20","42-79","14-27","25-60","31-46","6-4","12-8","15-15",2023,"Kansas City Royals2023","Kansas City Royals",1307052,16136,26.3,29.1,101,103,0,1,4,"$88,186,975",02:38:00,33,21,"63%","Quatraro",2023
"30",30,"Oakland Athletics",50,112,0.309,"L 1",3.6,5.7,-2.1,0.1,-2,"49-113",1,"8-24","14-18","14-38","14-32","26-55","24-57","6-8","20-27","31-85","19-27","22-76","28-36","4-6","6-14","12-18",2023,"Oakland Athletics2023","Oakland Athletics",832352,10276,27.1,28,92,95,0,1,5,"$51,230,000",02:44:00,39,19,"48%","Kotsay",2023
"31",1,"Los Angeles Dodgers",111,51,0.685,NA,5.2,3.2,2.1,-0.2,1.8,"116-46",-5,"19-14","23-10","54-22","15-5","57-24","54-27","6-9","16-15","79-35","32-16","50-27","61-24",NA,NA,NA,2022,"Los Angeles Dodgers2022","Los Angeles Dodgers",3861408,47672,29.6,28.8,102,99,0,6,18,"$261,180,131",03:08:00,33,12,"36%","Roberts",2022
"32",2,"Houston Astros",106,56,0.654,NA,4.5,3.2,1.4,-0.1,1.3,"106-56",0,"17-15","26-8","51-25","12-8","55-26","51-30","5-6","28-16","64-44","42-12","42-27","64-29",NA,NA,NA,2022,"Houston Astros2022","Houston Astros",2688998,33198,29.3,29.4,100,98,0,5,13,"$164,789,600",03:06:00,29,16,"55%","Baker",2022
"33",3,"Atlanta Braves",101,61,0.623,NA,4.9,3.8,1.1,-0.1,1,"100-62",1,"48-28","21-12","19-14","13-7","55-26","46-35","6-7","26-18","64-44","37-17","40-37","61-24",NA,NA,NA,2022,"Atlanta Braves2022","Atlanta Braves",3129931,38641,27.5,30,104,101,0,6,20,"$181,075,000",03:07:00,37,21,"56%","Snitker",2022
"34",4,"New York Mets",101,61,0.623,NA,4.8,3.7,1,-0.1,1,"99-63",2,"50-26","23-10","19-14","9-11","54-27","47-34","10-2","21-15","69-38","32-23","45-37","56-24",NA,NA,NA,2022,"New York Mets2022","New York Mets",2564737,31663,29.7,31.2,96,95,0,4,14,"$240,473,333",03:10:00,33,26,"78%","Showalter",2022
"35",5,"New York Yankees",99,63,0.611,NA,5,3.5,1.5,0,1.5,"106-56",-7,"47-29","25-8","17-16","10-10","57-24","42-39","10-8","31-27","73-48","26-15","50-43","49-20",NA,NA,NA,2022,"New York Yankees2022","New York Yankees",3136207,38719,30.3,29.2,102,101,0,6,17,"$238,950,714",03:13:00,33,19,"57%","Boone",2022
"36",6,"St. Louis Cardinals",93,69,0.574,NA,4.8,3.9,0.8,-0.3,0.6,"95-67",-2,"16-18","48-28","19-13","10-10","53-28","40-41","8-4","26-17","69-58","24-11","34-38","59-31",NA,NA,NA,2022,"St. Louis Cardinals2022","St. Louis Cardinals",3320551,40994,28.8,29.4,97,96,0,5,10,"$156,814,666",03:08:00,35,21,"60%","Marmol",2022
"37",7,"Cleveland Guardians",92,70,0.568,NA,4.3,3.9,0.4,-0.1,0.2,"88-74",4,"15-17","47-29","18-16","12-8","46-35","46-35","13-6","28-17","64-53","28-17","34-34","58-36",NA,NA,NA,2022,"Cleveland Guardians2022","Cleveland Guardians",1295870,15998,25.9,26.3,98,97,0,3,4,"$65,960,000",03:01:00,39,23,"58%","Francona",2022
"38",8,"Toronto Blue Jays",92,70,0.568,NA,4.8,4.2,0.6,0.1,0.7,"91-71",1,"43-33","19-15","17-15","13-7","47-34","45-36","8-7","30-20","80-50","12-20","45-49","47-21",NA,NA,NA,2022,"Toronto Blue Jays2022","Toronto Blue Jays",2653830,32763,27.1,29.7,99,99,0,6,18,"$172,705,857",03:06:00,48,21,"43%","Montoyo and Schneider",2022
"39",9,"Seattle Mariners",90,72,0.556,NA,4.3,3.8,0.4,0,0.4,"89-73",1,"16-17","21-12","41-35","12-8","46-35","44-37","11-5","34-22","68-52","22-20","38-33","52-39",NA,NA,NA,2022,"Seattle Mariners2022","Seattle Mariners",2287267,28238,27.6,27.9,95,95,0,2,13,"$78,285,000",03:06:00,19,9,"47%","Servais",2022
"40",10,"San Diego Padres",89,73,0.549,NA,4.4,4.1,0.3,0,0.3,"86-76",3,"19-15","21-11","41-35","8-12","44-37","45-36","12-5","30-17","58-50","31-23","38-44","51-29",NA,NA,NA,2022,"San Diego Padres2022","San Diego Padres",2987470,36882,28.2,30.3,94,93,0,3,13,"$173,600,824",03:13:00,36,19,"52%","Melvin",2022
"41",11,"Philadelphia Phillies",87,75,0.537,NA,4.6,4.2,0.4,0,0.4,"87-75",0,"41-35","20-13","17-16","9-11","47-34","40-41","8-6","22-25","59-57","28-18","34-47","53-28",NA,NA,NA,2022,"Philadelphia Phillies2022","Philadelphia Phillies",2276736,28108,28.2,29.2,99,98,0,2,15,"$209,488,461",03:11:00,42,18,"42%","Girardi and Thomson",2022
"42",12,"Milwaukee Brewers",86,76,0.531,NA,4.5,4.2,0.2,-0.2,0,"85-77",1,"13-18","42-34","16-19","15-5","46-35","40-41","9-9","28-23","59-51","27-25","35-36","51-40",NA,NA,NA,2022,"Milwaukee Brewers2022","Milwaukee Brewers",2422420,29906,29.1,28.6,100,99,0,3,11,"$128,421,127",03:11:00,33,19,"57%","Counsell",2022
"43",13,"Tampa Bay Rays",86,76,0.531,NA,4.1,3.8,0.3,0.1,0.4,"87-75",-1,"40-36","15-17","19-15","12-8","51-30","35-46","11-10","27-27","64-60","22-16","41-48","45-28",NA,NA,NA,2022,"Tampa Bay Rays2022","Tampa Bay Rays",1128127,13927,27,29.1,96,94,0,1,8,"$73,004,211",03:03:00,42,20,"47%","Cash",2022
"44",14,"Baltimore Orioles",83,79,0.512,NA,4.2,4.2,-0.1,0.2,0.1,"79-83",4,"34-42","16-17","21-12","12-8","45-36","38-43","8-5","23-24","56-56","27-23","42-47","41-32",NA,NA,NA,2022,"Baltimore Orioles2022","Baltimore Orioles",1368367,16893,27,27.7,99,100,0,1,8,"$48,000,000",03:08:00,45,23,"51%","Hyde",2022
"45",15,"Chicago White Sox",81,81,0.5,NA,4.2,4.4,-0.2,-0.1,-0.3,"78-84",3,"15-17","37-39","18-16","11-9","37-44","44-37","6-9","27-16","64-61","17-20","31-36","50-45",NA,NA,NA,2022,"Chicago White Sox2022","Chicago White Sox",2009359,24807,29.3,29.6,102,102,0,2,12,"$167,458,334",03:08:00,26,12,"46%","La Russa and Cairo",2022
"46",16,"San Francisco Giants",81,81,0.5,NA,4.4,4.3,0.1,0,0.1,"83-79",-2,"19-14","19-14","33-43","10-10","44-37","37-44","7-7","22-27","52-55","29-26","31-47","50-34",NA,NA,NA,2022,"San Francisco Giants2022","San Francisco Giants",2482686,30650,30,29.1,98,97,0,2,10,"$131,929,667",03:08:00,31,14,"45%","Kapler",2022
"47",17,"Minnesota Twins",78,84,0.481,NA,4.3,4.2,0.1,-0.1,0,"82-80",-4,"18-16","39-37","13-19","8-12","46-35","32-49","5-10","20-28","51-62","27-22","39-53","39-31",NA,NA,NA,2022,"Minnesota Twins2022","Minnesota Twins",1801128,22236,26.9,28.9,100,100,0,2,12,"$110,792,857",03:07:00,51,26,"50%","Baldelli",2022
"48",18,"Boston Red Sox",78,84,0.481,NA,4.5,4.9,-0.3,0.2,-0.1,"76-86",2,"26-50","18-15","25-8","9-11","43-38","35-46","7-11","24-26","55-71","23-13","47-65","31-19",NA,NA,NA,2022,"Boston Red Sox2022","Boston Red Sox",2625089,32409,28.8,30.2,108,108,0,3,11,"$188,420,000",03:11:00,18,8,"44%","Cora",2022
"49",19,"Chicago Cubs",74,88,0.457,NA,4.1,4.5,-0.5,-0.1,-0.6,"73-89",1,"21-10","37-39","10-25","6-14","37-44","37-44","7-12","26-27","55-64","19-24","37-58","37-30",NA,NA,NA,2022,"Chicago Cubs2022","Chicago Cubs",2616780,32306,27.9,29.5,103,103,0,2,8,"$131,085,000",03:06:00,47,19,"40%","Ross",2022
"50",20,"Arizona Diamondbacks",74,88,0.457,NA,4.3,4.6,-0.2,0,-0.2,"77-85",-3,"16-15","17-18","29-47","12-8","40-41","34-47","5-7","17-29","51-62","23-26","39-60","35-28",NA,NA,NA,2022,"Arizona Diamondbacks2022","Arizona Diamondbacks",1605199,19817,26.5,30,99,99,0,1,9,"$78,860,000",03:06:00,40,19,"47%","Lovullo",2022
"51",21,"Los Angeles Angels",73,89,0.451,NA,3.8,4.1,-0.3,0.1,-0.1,"76-86",-3,"11-23","18-14","37-39","7-13","40-41","33-48","7-8","18-28","50-63","23-26","34-58","39-31",NA,NA,NA,2022,"Los Angeles Angels2022","Los Angeles Angels",2457461,30339,28,27.4,103,103,0,2,7,"$167,063,095",03:07:00,42,16,"38%","Maddon and Nevin",2022
"52",22,"Miami Marlins",69,93,0.426,NA,3.6,4.2,-0.6,0.1,-0.5,"70-92",-1,"34-42","15-18","12-21","8-12","34-47","35-46","8-9","24-40","51-72","18-21","36-65","33-28",NA,NA,NA,2022,"Miami Marlins2022","Miami Marlins",907487,11204,28.9,27.6,100,101,0,3,9,"$68,200,000",03:06:00,36,17,"47%","Mattingly",2022
"53",23,"Texas Rangers",68,94,0.42,NA,4.4,4.6,-0.2,0.1,-0.1,"77-85",-9,"9-24","17-16","31-45","11-9","34-47","34-47","6-9","15-35","41-66","27-28","30-57","38-37",NA,NA,NA,2022,"Texas Rangers2022","Texas Rangers",2011361,24832,28,28.3,102,102,0,2,9,"$120,176,667",03:05:00,49,17,"34%","Woodward and Beasley",2022
"54",24,"Colorado Rockies",68,94,0.42,NA,4.3,5.4,-1.1,0.1,-1,"65-97",3,"10-24","16-16","33-43","9-11","41-40","27-54","6-8","23-24","39-62","29-32","35-63","33-31",NA,NA,NA,2022,"Colorado Rockies2022","Colorado Rockies",2597428,32067,29,29.1,112,114,0,1,8,"$112,605,000",03:05:00,28,14,"50%","Black",2022
"55",25,"Detroit Tigers",66,96,0.407,NA,3.4,4.4,-1,0,-1,"63-99",3,"11-21","34-42","10-24","11-9","36-46","30-50","3-7","22-20","46-72","20-24","32-56","34-40",NA,NA,NA,2022,"Detroit Tigers2022","Detroit Tigers",1575544,19214,27.9,27.5,99,100,0,2,8,"$117,740,000",02:58:00,44,23,"52%","Hinch",2022
"56",26,"Kansas City Royals",65,97,0.401,NA,4,5,-1,0.1,-1,"64-98",1,"13-22","33-43","12-19","7-13","39-42","26-55","5-5","16-20","45-76","20-21","34-58","31-39",NA,NA,NA,2022,"Kansas City Royals2022","Kansas City Royals",1277686,15774,27.1,27.3,103,105,0,1,6,"$87,410,000",03:03:00,42,23,"54%","Matheny",2022
"57",27,"Pittsburgh Pirates",62,100,0.383,NA,3.6,5,-1.4,0,-1.4,"58-104",4,"9-26","35-41","14-17","4-16","34-47","28-53","4-9","21-27","40-67","22-33","26-64","36-36",NA,NA,NA,2022,"Pittsburgh Pirates2022","Pittsburgh Pirates",1257458,15524,26.3,27.3,99,100,0,1,5,"$37,925,000",03:04:00,31,14,"45%","Shelton",2022
"58",28,"Cincinnati Reds",62,100,0.383,NA,4,5,-1,-0.1,-1.1,"64-98",-2,"12-22","28-48","10-22","12-8","33-48","29-52","6-5","21-23","45-71","17-29","32-61","30-39",NA,NA,NA,2022,"Cincinnati Reds2022","Cincinnati Reds",1395770,17232,29.4,27.9,107,107,0,1,5,"$111,882,381",03:06:00,37,18,"48%","Bell",2022
"59",29,"Oakland Athletics",60,102,0.37,NA,3.5,4.8,-1.2,0.2,-1,"59-103",1,"13-20","12-21","30-46","5-15","29-51","31-51","6-4","17-25","44-75","16-27","33-60","27-42",NA,NA,NA,2022,"Oakland Athletics2022","Oakland Athletics",787902,9849,28.3,28,94,95,0,1,5,"$50,248,334",03:02:00,34,15,"44%","Kotsay",2022
"60",30,"Washington Nationals",55,107,0.34,NA,3.7,5.3,-1.6,0.1,-1.4,"56-106",-1,"17-59","15-18","15-18","8-12","26-55","29-52","3-7","17-22","39-67","16-40","30-70","25-37",NA,NA,NA,2022,"Washington Nationals2022","Washington Nationals",2026401,25017,28.7,29.7,95,97,0,1,11,"$125,051,666",03:07:00,30,13,"43%","Martinez",2022
"61",1,"San Francisco Giants",107,55,0.66,NA,5,3.7,1.3,-0.1,1.2,"103-59",4,"21-11","20-14","53-23","13-7","54-27","53-28","10-9","31-17","80-35","27-20","35-28","72-27",NA,NA,NA,2021,"San Francisco Giants2021","San Francisco Giants",1679484,20734,30.6,29.7,98,98,0,3,14,"$150,863,778",03:12:00,19,12,"63%","Kapler",2021
"62",2,"Los Angeles Dodgers",106,56,0.654,NA,5.1,3.5,1.7,-0.1,1.6,"109-53",-3,"24-9","20-13","50-26","12-8","58-23","48-33","6-13","24-24","73-42","33-14","35-27","71-29",NA,NA,NA,2021,"Los Angeles Dodgers2021","Los Angeles Dodgers",2804693,34626,29.2,28.8,103,100,0,5,22,"$248,108,334",03:18:00,22,12,"54%","Roberts",2021
"63",3,"Tampa Bay Rays",100,62,0.617,NA,5.3,4,1.3,0,1.3,"101-61",-1,"51-25","19-13","15-19","15-5","52-29","48-33","7-12","20-25","62-35","38-27","48-42","52-20",NA,NA,NA,2021,"Tampa Bay Rays2021","Tampa Bay Rays",761072,9396,27.7,28.8,94,93,0,3,13,"$52,937,166",03:07:00,17,7,"41%","Cash",2021
"64",4,"Milwaukee Brewers",95,67,0.586,NA,4.6,3.8,0.7,-0.3,0.4,"93-69",2,"17-14","47-29","23-12","8-12","45-36","50-31","10-9","21-15","75-48","20-19","32-36","63-31",NA,NA,NA,2021,"Milwaukee Brewers2021","Milwaukee Brewers",1824282,22522,28.7,28.1,99,98,0,5,15,"$85,517,626",03:16:00,7,5,"71%","Counsell",2021
"65",5,"Houston Astros",95,67,0.586,NA,5.3,4.1,1.3,-0.1,1.2,"101-61",-6,"18-13","19-16","49-27","9-11","51-30","44-37","9-8","21-19","61-39","34-28","45-32","50-35",NA,NA,NA,2021,"Houston Astros2021","Houston Astros",2068509,25537,28.9,28.7,101,99,0,4,13,"$190,400,000",03:19:00,12,4,"33%","Baker",2021
"66",6,"Chicago White Sox",93,69,0.574,NA,4.9,3.9,1,-0.2,0.8,"97-65",-4,"19-14","44-32","16-17","14-6","53-28","40-41","6-7","18-24","68-52","25-17","27-29","66-40",NA,NA,NA,2021,"Chicago White Sox2021","Chicago White Sox",1596385,19708,28.1,28.3,102,101,0,4,11,"$115,546,333",03:09:00,9,7,"77%","La Russa",2021
"67",7,"Boston Red Sox",92,70,0.568,NA,5.1,4.6,0.5,0.1,0.6,"88-74",4,"41-35","20-13","15-18","16-4","49-32","43-38","11-5","26-18","57-39","35-31","46-48","46-22",NA,NA,NA,2021,"Boston Red Sox2021","Boston Red Sox",1725323,21300,28,29.7,107,108,0,5,9,"$156,095,000",03:17:00,10,6,"60%","Cora",2021
"68",8,"New York Yankees",92,70,0.568,NA,4.4,4.1,0.3,0.1,0.4,"86-76",6,"36-40","22-10","22-12","12-8","46-35","46-35","10-8","28-20","60-46","32-24","48-43","44-27",NA,NA,NA,2021,"New York Yankees2021","New York Yankees",1959854,24196,29.3,29.3,100,99,0,3,17,"$209,799,047",03:16:00,10,3,"30%","Boone",2021
"69",9,"Toronto Blue Jays",91,71,0.562,NA,5.2,4.1,1.1,0,1.2,"99-63",-8,"42-34","19-15","16-16","14-6","47-33","44-38","3-9","15-15","68-51","23-20","48-44","43-27",NA,NA,NA,2021,"Toronto Blue Jays2021","Toronto Blue Jays",805901,10074,26.8,29.1,104,103,0,4,18,"$121,694,071",03:04:00,25,9,"36%","Montoyo",2021
"70",10,"St. Louis Cardinals",90,72,0.556,NA,4.4,4.1,0.2,-0.2,0,"85-77",5,"17-16","42-34","20-13","11-9","45-36","45-36","7-2","26-19","66-59","24-13","32-36","58-36",NA,NA,NA,2021,"St. Louis Cardinals2021","St. Louis Cardinals",2102530,25957,28.5,30.1,94,93,0,3,13,"$155,329,667",03:10:00,11,6,"54%","Shildt",2021
